location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
17351629,Egypt36,30.03195,31.21147,2,5,el dooki,"{'street1': '148 Haram st, Giza', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '2222'}","148 Haram st, Giza, Cairo 2222 Egypt"
15855582,Tours of Cairo,30.0966,31.25363,2,5,al zahar,"{'street1': '22 Adly street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","22 Adly street, Cairo 11511 Egypt"
15220283,Egipto Travel,30.00634,31.17996,2,5,al omrnyaa,"{'street1': 'Haram - Giza - Cairo ', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '011'}","Haram - Giza - Cairo, Cairo 011 Egypt"
16879144,Jozee Boutique Zamalek,30.13658,31.33076,2,5,salam 1 ,"{'street1': '6A Ismail Mohamed Street, Zamalek, Cairo', 'street2': 'Mohamed Naguib Axis, Silver Star Mall (Al Feda), New Cairo', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","6A Ismail Mohamed Street, Zamalek, Cairo Mohamed Naguib Axis, Silver Star Mall (Al Feda), New Cairo, Cairo 11511 Egypt"
8048761,Sami Amin,30.06273,31.21851,2,5,Zamalek,"{'street1': '15A Al Mansour Mohamed Street', 'street2': 'Off 26 of July Street, Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","15A Al Mansour Mohamed Street Off 26 of July Street, Zamalek, Cairo 11511 Egypt"
8619365,Al Wikalah,30.047,31.2602,2,5,al jamalya,"{'street1': '73 Gawhar Al-Qayid St., Khan El Khalili', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","73 Gawhar Al-Qayid St., Khan El Khalili, Cairo 11511 Egypt"
7252961,Bazar Noobr,29.98,31.2377,2,4.5,dar as-salam,"{'street1': '45 Kornish Alnel St', 'street2': 'Corniche de Aswan', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","45 Kornish Alnel St Corniche de Aswan, Cairo 11511 Egypt"
469444,Dr. Ragab Papyrus Institute,30.09637,31.23769,3,4.5,al sahl,"{'street1': 'Corniche el-Nil', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Corniche el-Nil, Cairo 11511 Egypt"
9710100,Bashayer,30.13861,31.24044,2,4.5,el dooki,"{'street1': '58 Mossadak Str', 'street2': 'Dokki', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","58 Mossadak Str Dokki, Cairo 11511 Egypt"
17635743,Universal Travel,30.12602,31.37779,2,4,an-nuzhah,"{'street1': '81 Joseph Tito St.', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11575'}","81 Joseph Tito St., Cairo 11575 Egypt"
2392374,Three Pyramids Bazaar,30.09261,31.33503,16,3,Heliopolis,"{'street1': '22 Abuelhoul St', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","22 Abuelhoul St, Cairo 11511 Egypt"
553197,Perfume Factory,30.053291,31.332146,149,2.5,Madinat Nasr 1 ,"{'street1': '', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': ''}",Cairo Egypt
11862731,Halo Tours,30.059502,31.258465,0,0,bab ash shariyah,"{'street1': '9 St Maadi , Cairo', 'street2': '18,Abdelrahman qandil st.', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","9 St Maadi , Cairo 18,Abdelrahman qandil st., Cairo 11511 Egypt"
19916240,Tintera,30.069632,31.22029,0,0,Zamalek,"{'street1': '17 Bahgat Aly Street, Second Floor', 'street2': 'Apartment 14', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","17 Bahgat Aly Street, Second Floor Apartment 14, Cairo 11511 Egypt"
19525499,Marks and Spencer,29.97195,31.40982,0,0,al-qahirah al jadidah 3,"{'street1': 'Citystars Mall', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Citystars Mall, Cairo 11511 Egypt"
19524569,Toys 'R' Us,30.08926,31.32217,0,0,Heliopolis,"{'street1': '2 City Star Mall, 4th Floor Ph', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","2 City Star Mall, 4th Floor Ph, Cairo 11511 Egypt"
19468294,Ateeq Design,30.05982,31.22422,0,0,Zamalek,"{'street1': '1 Sayed El Bakry St., Mohamed Mazhar, Zamalek', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","1 Sayed El Bakry St., Mohamed Mazhar, Zamalek, Cairo 11511 Egypt"
19314040,Fair Trade Egypt,29.955008,31.273565,0,0,maadi,"{'street1': '205 12 Street', 'street2': 'Maadi As Sarayat Al Gharbeyah', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","205 12 Street Maadi As Sarayat Al Gharbeyah, Cairo 11511 Egypt"
17542843,CairoPolitan,30.09611,31.30443,0,0,az-zaytun,"{'street1': '8 Dar El Shefa Street,', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11519'}","8 Dar El Shefa Street,, Cairo 11519 Egypt"
17438309,Egy Grand Tour,30.06304,31.32704,0,0,Madinat Nasr 1 ,"{'street1': '61 Shabab Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","61 Shabab Street, Cairo 11511 Egypt"
17171997,Planet Tours & Travel,30.12125,31.32645,0,0,ain shams,"{'street1': 'Head Office : 7 El Madina El Monawara St., El Mohandeseen , Giza , Egypt .', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '12655'}","Head Office : 7 El Madina El Monawara St., El Mohandeseen , Giza , Egypt ., Cairo 12655 Egypt"
15696035,Horus Tours,30.04434,31.33068,0,0,Madinat Nasr 1 ,"{'street1': '13 Ahmed Foaad St, Nasir City', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","13 Ahmed Foaad St, Nasir City, Cairo 11511 Egypt"
3864944,Silver Smith,30.0581,31.2289,0,0,bulaq,"{'street1': 'Le meridien Heliopolis Hotel', 'street2': 'Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Le meridien Heliopolis Hotel Heliopolis, Cairo 11511 Egypt"
3849343,Gallery Finesse,30.08594,31.25987,0,0,al sharbya,"{'street1': '31 Ahmed Fouad St.', 'street2': 'Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","31 Ahmed Fouad St. Heliopolis, Cairo 11511 Egypt"
3849322,Art Corner Gallery,30.06014,31.22279,0,0,Zamalek,"{'street1': '12 El Sayed El Bakry St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","12 El Sayed El Bakry St. Zamalek, Cairo 11511 Egypt"
3849246,Al Noubi For Fine Art,30.13689,31.31017,0,0,al-matariyah,"{'street1': '4 Aly El Kordy St.', 'street2': 'Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","4 Aly El Kordy St. Maadi, Cairo 11511 Egypt"
3846976,Gezira Art Center,30.15634,31.33355,0,0,al-marj,"{'street1': '1 El Marsafy St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","1 El Marsafy St. Zamalek, Cairo 11511 Egypt"
3846885,Gallery Fathy,30.0789,31.23308,0,0,rud el farag,"{'street1': '231 32 Rd.', 'street2': 'Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","231 32 Rd. Maadi, Cairo 11511 Egypt"
3846865,Gallery Taji,30.09152,31.32506,0,0,Heliopolis,"{'street1': '19 Baghdad St. Heliopolis', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","19 Baghdad St. Heliopolis, Cairo 11511 Egypt"
3844116,Ebdaa Art Gallery,30.15101,31.31415,0,0,Zamalek,"{'street1': '23 B Ismail Mohamed St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","23 B Ismail Mohamed St. Zamalek, Cairo 11511 Egypt"
3842345,Gallery Fanous,30.10263,31.291,0,0,al amirya,"{'street1': '173 Brazil St. Intersection Of 26th Of July St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","173 Brazil St. Intersection Of 26th Of July St. Zamalek, Cairo 11511 Egypt"
3842340,El Kenz Gallary,29.97614,31.15311,0,0,al ahram,"{'street1': '70 Rd. 9, Floor 2, Maadi', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","70 Rd. 9, Floor 2, Maadi, Cairo 11511 Egypt"
3842328,El Khawanky Gallery,0,0,0,0,Madinat Nasr 1 ,"{'street1': '17 B El Obour Bldgs', 'street2': 'Nasr City', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","17 B El Obour Bldgs Nasr City, Cairo 11511 Egypt"
